Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score
4,18,Male,High School,UK,3,YouTube,No,7,7,1,4
9,18,Male,High School,Japan,4,TikTok,No,6.5,7,1,5
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,4,9
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,4,8
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,4,8
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,4,8
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,4,8
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,4,9
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,4,8
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,4,9
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,4,8
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,4,9
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,4,8
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,4,8
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,3,8
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,5,9
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,3,7
18,19,Female,High School,Norway,5,Instagram,Yes,5.7,5,3,8
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,3,7
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,4,9
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,4,8
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,3,7
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,4,9
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,4,8
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,3,7
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,4,9
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,4,8
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,3,7
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,3,8
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,4,8
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,3,7
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,4,8
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,3,7
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,4,8
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,3,7
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,3,7
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,4,9
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,3,7
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,3,7
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,2,5
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,2,5
